127.0.0.1, 2021-05-26 09:48:08, GET, /, HTTP/1.1, 303, 0.865530
127.0.0.1, 2021-05-26 09:48:09, GET, /welcome/default/index, HTTP/1.1, 200, 1.457000
127.0.0.1, 2021-05-26 09:48:10, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001001
127.0.0.1, 2021-05-26 09:48:10, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2021-05-26 09:48:10, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2021-05-26 09:48:10, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2021-05-26 09:48:10, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000999
127.0.0.1, 2021-05-26 09:48:10, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001997
127.0.0.1, 2021-05-26 09:48:10, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001002
127.0.0.1, 2021-05-26 09:48:10, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.001003
127.0.0.1, 2021-05-26 09:48:10, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2021-05-26 09:48:10, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.001000
127.0.0.1, 2021-05-26 09:48:11, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001008
127.0.0.1, 2021-05-26 09:48:35, GET, /admin/default/index, HTTP/1.1, 200, 0.618551
127.0.0.1, 2021-05-26 09:48:35, GET, /admin/static/_2.21.1/css/calendar.css, HTTP/1.1, 200, 0.019995
127.0.0.1, 2021-05-26 09:48:35, GET, /admin/static/_2.21.1/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.040000
127.0.0.1, 2021-05-26 09:48:35, GET, /admin/static/_2.21.1/js/web2py.js, HTTP/1.1, 200, 0.042999
127.0.0.1, 2021-05-26 09:48:35, GET, /admin/static/_2.21.1/js/calendar.js, HTTP/1.1, 200, 0.044997
127.0.0.1, 2021-05-26 09:48:35, GET, /admin/static/_2.21.1/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.035007
127.0.0.1, 2021-05-26 09:48:35, GET, /admin/static/_2.21.1/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.013999
127.0.0.1, 2021-05-26 09:48:35, GET, /admin/static/_2.21.1/css/bootstrap.min.css, HTTP/1.1, 200, 0.014001
127.0.0.1, 2021-05-26 09:48:35, GET, /admin/static/_2.21.1/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.014001
127.0.0.1, 2021-05-26 09:48:35, GET, /admin/static/_2.21.1/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.017000
127.0.0.1, 2021-05-26 09:48:35, GET, /admin/static/_2.21.1/js/jquery.js, HTTP/1.1, 200, 0.095000
127.0.0.1, 2021-05-26 09:48:35, GET, /admin/static/_2.21.1/plugin_multiselect/start.js, HTTP/1.1, 200, 0.012998
127.0.0.1, 2021-05-26 09:48:35, GET, /admin/static/_2.21.1/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.026000
127.0.0.1, 2021-05-26 09:48:35, GET, /admin/static/_2.21.1/js/bootstrap.min.js, HTTP/1.1, 200, 0.042002
127.0.0.1, 2021-05-26 09:48:35, GET, /admin/static/_2.21.1/images/questions.png, HTTP/1.1, 200, 0.011003
127.0.0.1, 2021-05-26 09:48:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2021-05-26 09:48:41, POST, /admin/default/index, HTTP/1.1, 200, 0.024999
127.0.0.1, 2021-05-26 09:48:41, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2021-05-26 09:48:43, POST, /admin/default/index, HTTP/1.1, 200, 0.015006
127.0.0.1, 2021-05-26 09:48:43, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2021-05-26 09:48:48, POST, /admin/default/index, HTTP/1.1, 200, 1.031244
127.0.0.1, 2021-05-26 09:48:48, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2021-05-26 09:48:51, POST, /admin/default/index, HTTP/1.1, 200, 0.028999
127.0.0.1, 2021-05-26 09:48:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2021-05-26 09:48:52, POST, /admin/default/index, HTTP/1.1, 200, 0.014003
127.0.0.1, 2021-05-26 09:48:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2021-05-26 09:48:53, POST, /admin/default/index, HTTP/1.1, 200, 0.013996
127.0.0.1, 2021-05-26 09:48:53, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2021-05-26 09:48:53, POST, /admin/default/index, HTTP/1.1, 200, 0.013999
127.0.0.1, 2021-05-26 09:48:53, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2021-05-26 09:49:02, GET, /, HTTP/1.1, 303, 0.000999
127.0.0.1, 2021-05-26 09:49:02, GET, /welcome/default/index, HTTP/1.1, 200, 0.074995
127.0.0.1, 2021-05-26 09:49:02, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2021-05-26 09:49:07, GET, /admin/default/index, HTTP/1.1, 200, 0.024999
127.0.0.1, 2021-05-26 09:49:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2021-05-26 09:49:09, POST, /admin/default/index, HTTP/1.1, 303, 0.012000
127.0.0.1, 2021-05-26 09:49:09, GET, /admin/default/site, HTTP/1.1, 200, 0.070055
127.0.0.1, 2021-05-26 09:49:10, GET, /admin/static/_2.21.1/images/folder_locked.png, HTTP/1.1, 200, 0.010999
